item,qualifier,description,category,synonyms,electrical,functional,notes
TV cabinet,,,Furniture,TV stand/Television stand,no,,
underlay,,,Fixtures and fittings,,no,,
vacuum cleaner  ,,,Electrical,,yes,,
video player,,,Electrical,VHS,yes,,
wardrobe,,,Furniture,,no,,
washing machine,,,Electrical goods - other,,yes,yes,
water butt,,,General,,no,,
wheelbarrow,,,General,,no,,
window blinds,up to 4 units,,General,,no,,
windows,up to 4 units,,General,,no,,
wood,per cubic yard,,General,,no,,
